nombre,empresa,email,telefono,instagram,linkedin,ciudad,pais,nicho,vertical,url,fuente,fecha,status
,,info@losodontologos.com,321 615 54 10,,,Medellin,Colombia,odontologos,empresas,https://losodontologos.com/colombia/contacto-medellin/,web_scraping,2026-04-26,pendiente
,,info@oralflex.com.co,2026-04-14,https://www.instagram.com/oralflextusonrisa/,,Medellin,Colombia,odontologos,empresas,https://www.oralflex.com.co/,web_scraping,2026-04-26,pendiente
,Odontología de Paola Alvarez,paoka57@hotmail.com,300 5551614,https://www.google.com/url?q=https%3A%2F%2Fwww.instagram.com%2Fpaolaendodoncia%2F%23&sa=D&sntz=1&usg=AOvVaw3oeuuQw129kcwjMKHg_QJz,,Medellin,Colombia,odontologos,empresas,https://sites.google.com/view/odontologiapaolaalvarez/inicio,google_maps,2026-04-26,pendiente
,Smile Natural Studio | Clínica & Spa Odontológico,smilenaturalstudio@gmail.com,300 6370177,https://www.instagram.com/smilenaturalstudio/,,Medellin,Colombia,odontologos,empresas,https://smilenaturalstudio.com/,google_maps,2026-04-26,pendiente
,ORAL CONCEPT INVISALIGN,,313 7662008,https://www.instagram.com/teepublic/,,Medellin,Colombia,odontologos,empresas,https://oralconcept.co/home/oral-concept,google_maps,2026-04-26,pendiente
,Dr. Mauricio Arias - Odontólogo Experto en Medellín English Dentist,info@mauricioariasexperience.com,304 6705124,https://www.instagram.com/mauricioariasexperience/,,Medellin,Colombia,odontologos,empresas,https://mauricioariasexperience.com/,google_maps,2026-04-26,pendiente
,Odontología 30a,,315 4148548,,,Medellin,Colombia,odontologos,empresas,,google_maps,2026-04-26,pendiente
,Odontologos en Medellin,info@odontologoenmedellin.com,305 2581651,,,Medellin,Colombia,odontologos,empresas,https://odontologoenmedellin.com/,google_maps,2026-04-26,pendiente
,DentiOral - Sede Belén,info@dentioral.com,(604) 4448911,https://www.instagram.com/dentioral/,,Medellin,Colombia,odontologos,empresas,https://www.dentioral.com/,google_maps,2026-04-26,pendiente
,Sanadent Odontólogos - La Mejor Clínica Dental en Medellín,mercadeo@sanadentodontologos.com.co,(604) 4486126,https://www.instagram.com/sanadentodontologos/,,Medellin,Colombia,odontologos,empresas,http://www.sanadentodontologos.com.co/,google_maps,2026-04-26,pendiente
,Odontólogos y Especialistas,,44112100,,,Medellin,Colombia,odontologos,empresas,,google_maps,2026-04-26,pendiente
,Odontología la 78 Urgencia las 24 horas,contact@mysite.com,312 2478447,,,Medellin,Colombia,odontologos,empresas,https://consultorioodontologicola78.com/,google_maps,2026-04-26,pendiente
,Clínica Dental Home,info@clinicadentalhome.net,310 4194654,http://instagram.com/dentalhome,,Medellin,Colombia,odontologos,empresas,https://clinicadentalhome.com/?utm_source=google&utm_medium=organic&utm_campaign=google-business&utm_id=google-business&utm_term=google-business-unicentro,google_maps,2026-04-26,pendiente
,Odontoespecialistas,gerencia@odontoespecialistas.com,313 7591236,https://instagram.com/odontoespecialistas,,Medellin,Colombia,odontologos,empresas,http://www.odontoespecialistas.com/,google_maps,2026-04-26,pendiente
,ORAL MAS ESPECIALISTAS,,312 2563272,https://www.instagram.com/oralmas/,,Medellin,Colombia,odontologos,empresas,https://oralmas.com/,google_maps,2026-04-26,pendiente
,Infinity Smile,,323 4650026,https://www.instagram.com/infinitysmile_co/,,Medellin,Colombia,odontologos,empresas,https://infinitysmile.com.co/,google_maps,2026-04-26,pendiente
,Trébol Odontología Especializada Medellín,,318 8297858,,,Medellin,Colombia,odontologos,empresas,https://trebolodontologia.com/,google_maps,2026-04-26,pendiente
,Sánchez Rendón (S&R) odontólogos especialistas,,319 6184755,,,Medellin,Colombia,odontologos,empresas,,google_maps,2026-04-26,pendiente
,Royal Dental Care,royaldentalcaremed@gmail.com,320 8201361,https://www.instagram.com/royaldentalcaremed/,,Medellin,Colombia,odontologos,empresas,http://royaldentalcare.co/,google_maps,2026-04-26,pendiente
,Dental Expertos,,300 8938020,,,Medellin,Colombia,odontologos,empresas,https://www.instagram.com/dentalexpertos,google_maps,2026-04-26,pendiente
,Orthodontics Medellín,,314 2145728,,,Medellin,Colombia,odontologos,empresas,,google_maps,2026-04-26,pendiente
,Oral Studio,info@oralstudio.com.co,312 7093687,https://www.instagram.com/oralstudiocolombia/?hl=en,,Medellin,Colombia,odontologos,empresas,https://www.oralstudio.com.co/,google_maps,2026-04-26,pendiente
